Date,Open,High,Low,Close,Adj Close,Volume
1/3/2000,$49.83,$50.25,$48.08,$48.58,$24.41,"$12,019,200.00"
1/4/2000,$47.08,$47.46,$46.13,$47.25,$23.87,"$11,723,400.00"
1/5/2000,$46.83,$48.38,$46.00,$46.96,$23.72,"$8,714,550.00"
1/6/2000,$46.75,$48.63,$46.50,$47.63,$24.06,"$8,369,250.00"
1/7/2000,$48.42,$49.00,$47.33,$48.50,$24.50,"$6,571,950.00"
1/10/2000,$48.50,$48.92,$47.67,$47.67,$24.08,"$4,723,500.00"
1/11/2000,$46.67,$46.96,$45.50,$46.54,$23.51,"$8,405,550.00"
1/12/2000,$46.46,$47.25,$46.33,$46.83,$23.66,"$7,271,850.00"
1/13/2000,$47.42,$48.33,$47.04,$47.54,$24.02,"$6,918,900.00"
1/14/2000,$49.29,$50.50,$48.54,$49.25,$24.88,"$9,731,850.00"
1/18/2000,$49.29,$49.67,$46.83,$47.33,$23.91,"$5,296,650.00"
1/19/2000,$48.17,$50.25,$48.17,$49.42,$24.97,"$15,734,700.00"
1/20/2000,$50.25,$50.67,$48.50,$49.38,$24.94,"$7,770,300.00"
1/21/2000,$49.25,$49.33,$48.42,$48.63,$24.57,"$5,160,600.00"
1/24/2000,$49.58,$49.71,$48.13,$48.67,$24.59,"$6,459,150.00"
1/25/2000,$48.67,$50.50,$48.67,$49.75,$25.13,"$7,579,950.00"
1/26/2000,$50.25,$52.67,$50.00,$52.29,$26.42,"$8,386,650.00"
1/27/2000,$52.96,$54.33,$52.38,$53.79,$27.18,"$8,165,850.00"
1/28/2000,$53.04,$53.04,$51.08,$51.13,$25.83,"$7,500,000.00"
1/31/2000,$51.21,$54.33,$51.21,$53.79,$27.18,"$7,160,250.00"
2/1/2000,$54.96,$56.33,$54.21,$55.83,$28.21,"$9,651,000.00"
2/2/2000,$55.33,$56.13,$54.25,$54.92,$27.74,"$7,126,200.00"
2/3/2000,$55.67,$56.58,$53.50,$55.46,$28.02,"$9,200,250.00"
2/4/2000,$55.00,$55.54,$54.38,$54.50,$27.53,"$5,115,150.00"
2/7/2000,$54.79,$55.58,$54.50,$54.79,$27.68,"$4,684,200.00"
2/8/2000,$56.04,$57.42,$56.00,$56.71,$28.65,"$6,318,600.00"
2/9/2000,$56.63,$57.58,$54.96,$55.25,$27.91,"$9,818,550.00"
2/10/2000,$55.42,$55.83,$54.25,$55.42,$28.00,"$6,880,500.00"
2/11/2000,$55.50,$56.67,$54.67,$55.08,$27.83,"$7,052,550.00"
2/14/2000,$54.83,$55.63,$52.71,$52.71,$26.63,"$5,904,750.00"
2/15/2000,$53.38,$55.00,$53.08,$54.04,$27.30,"$8,965,500.00"
2/16/2000,$54.00,$54.79,$52.67,$53.00,$26.78,"$4,829,700.00"
2/17/2000,$53.75,$54.33,$51.88,$52.25,$26.40,"$5,716,200.00"
2/18/2000,$52.04,$52.38,$49.71,$49.83,$25.18,"$8,121,300.00"
2/22/2000,$50.67,$52.58,$50.08,$51.50,$26.02,"$7,068,600.00"
2/23/2000,$51.58,$52.79,$51.04,$51.58,$26.06,"$4,452,900.00"
2/24/2000,$51.50,$51.71,$49.75,$50.67,$25.60,"$5,199,900.00"
2/25/2000,$51.08,$52.50,$49.92,$50.58,$25.55,"$4,644,300.00"
2/28/2000,$51.17,$53.50,$50.92,$51.96,$26.25,"$6,051,000.00"
2/29/2000,$51.79,$54.00,$51.79,$53.08,$26.82,"$6,166,950.00"
3/1/2000,$53.25,$54.67,$52.58,$54.67,$27.62,"$4,866,300.00"
3/2/2000,$53.67,$54.08,$53.17,$53.71,$27.13,"$3,583,800.00"
3/3/2000,$54.67,$54.92,$52.92,$54.08,$27.32,"$5,981,400.00"
3/6/2000,$55.29,$56.25,$54.83,$55.63,$28.10,"$5,691,450.00"
